town,ward,precinct,office,district,party,candidate,votes
Abington,,1,State Senate,Norfolk and Plymouth,,All Others,13
Abington,,1,State Senate,Norfolk and Plymouth,Democratic,Michael W. Morrissey,1478
Abington,,1,State Senate,Norfolk and Plymouth,,Blank Votes,480
Abington,,1,U.S. House,10th,Democratic,William D. Delahunt,1315
Abington,,1,Governor's Council,4th,,All Others,1
Abington,,1,Governor's Council,4th,Unenrolled,Brian Connolly,355
Abington,,1,State House,7th Plymouth,,Blank Votes,62
Abington,,1,President,,,Total Votes Cast,1971
Abington,,1,President,,(Write-In),Nader and Camejo,0
Abington,,1,President,,,No Preference,0
Abington,,1,State House,7th Plymouth,,Total Votes Cast,1971
Abington,,1,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1332
Abington,,1,State House,7th Plymouth,Republican,Edward P. Kirby,577
Abington,,1,President,,Green-Rainbow,Cobb and LaMarche,4
Abington,,1,President,,Republican,Bush and Cheney,849
Abington,,1,State House,7th Plymouth,,All Others,0
Abington,,1,President,,,Blank Votes,0
Abington,,1,U.S. House,10th,,Blank Votes,83
Abington,,1,State Senate,Norfolk and Plymouth,,Total Votes Cast,1971
Abington,,1,Governor's Council,4th,,Blank Votes,170
Abington,,1,President,,,All Others,7
Abington,,1,Governor's Council,4th,,Total Votes Cast,1971
Abington,,1,U.S. House,10th,,Total Votes Cast,1971
Abington,,1,U.S. House,10th,,All Others,1
Abington,,1,President,,Democratic,Kerry and Edwards,1104
Abington,,1,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",933
Abington,,1,President,,Libertarian,Badnarik and Campagna,7
Abington,,1,Governor's Council,4th,Republican,Donald A. Hussey,512
Abington,,1,U.S. House,10th,Republican,Michael J. Jones,572
Abington,,2,U.S. House,10th,,All Others,0
Abington,,2,U.S. House,10th,Democratic,William D. Delahunt,1095
Abington,,2,President,,Republican,Bush and Cheney,739
Abington,,2,State House,7th Plymouth,,Blank Votes,59
Abington,,2,President,,Libertarian,Badnarik and Campagna,7
Abington,,2,President,,Democratic,Kerry and Edwards,925
Abington,,2,State House,7th Plymouth,Republican,Edward P. Kirby,570
Abington,,2,Governor's Council,4th,,All Others,0
Abington,,2,State House,7th Plymouth,Democratic,Kathleen M. Teahan,1062
Abington,,2,State House,7th Plymouth,,All Others,0
Abington,,2,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",728
Abington,,2,Governor's Council,4th,Republican,Donald A. Hussey,466
Abington,,2,State Senate,Norfolk and Plymouth,,Blank Votes,458
Abington,,2,State Senate,Norfolk and Plymouth,,Total Votes Cast,1691
Abington,,2,State House,7th Plymouth,,Total Votes Cast,1691
Abington,,2,U.S. House,10th,Republican,Michael J. Jones,514
Abington,,2,Governor's Council,4th,,Total Votes Cast,1691
Abington,,2,Governor's Council,4th,,Blank Votes,184
Abington,,2,U.S. House,10th,,Total Votes Cast,1691
Abington,,2,President,,(Write-In),Nader and Camejo,0
Abington,,2,U.S. House,10th,,Blank Votes,82
Abington,,2,State Senate,Norfolk and Plymouth,Democratic,Michael W. Morrissey,1218
Abington,,2,President,,,All Others,7
